total_years_experience,num_positions,avg_tenure_months,education_level_score,total_skills_count,has_certifications,language_count,section_completeness_score,max_language_score,has_senior_title,career_gap_months,latest_job_duration,has_summary,num_certifications,parse_quality_score,recommendation
1.9,2,11.4,4,15,1,2,0.63,4,1,2,26,1,2,2,Invite
0.9,4,2.7,5,12,1,3,0.92,3,1,0,12,1,2,2,Invite
6.8,5,16.3,4,10,1,3,0.81,3,0,0,51,0,3,2,Invite
3.5,1,42.0,3,8,0,1,0.4,2,0,0,3,0,0,0,Reject
4.5,4,13.5,3,24,0,4,0.64,3,1,1,47,1,2,2,Invite
0.6,2,3.6,1,9,0,1,0.33,2,0,12,12,1,1,0,Reject
3.3,3,13.2,1,4,0,2,0.47,2,0,3,14,1,0,2,Reject
7.7,4,23.1,3,24,0,4,0.69,3,0,1,19,1,2,2,Invite
6.1,3,24.4,2,10,0,2,0.21,2,0,12,10,1,1,0,Reject
1.9,3,7.6,2,3,0,1,0.24,3,0,3,14,0,0,1,Reject
2.9,1,34.8,3,4,0,1,0.47,2,0,6,14,0,1,1,Reject
3.2,6,6.4,3,21,0,4,0.81,5,0,0,50,0,2,2,Invite
8.5,4,25.5,3,23,1,2,0.65,4,1,2,34,0,1,2,Invite
8.7,2,52.2,5,21,1,4,0.72,6,0,0,51,1,3,1,Invite
2.6,3,10.4,1,6,0,1,0.33,1,0,0,4,0,0,2,Reject
11.0,3,44.0,3,12,0,2,0.84,3,0,2,43,1,4,2,Invite
0.0,2,0.0,3,12,0,2,0.23,2,0,6,9,0,1,1,Reject
0.1,5,0.2,2,19,1,1,0.86,3,1,1,41,1,1,2,Invite
1.5,2,9.0,2,2,0,2,0.59,1,0,6,6,0,1,2,Reject
4.8,6,9.6,3,19,1,4,0.76,5,1,0,52,1,1,2,Invite
5.3,6,10.6,5,18,0,2,0.97,5,1,1,37,0,1,2,Invite
8.5,4,25.5,5,24,0,4,0.8,3,0,0,25,1,4,1,Invite
3.4,1,40.8,2,10,1,1,0.46,3,0,0,13,0,0,2,Reject
3.9,1,46.8,2,2,0,1,0.59,3,0,3,15,0,0,1,Reject
0.0,2,0.0,2,11,1,2,0.51,2,0,6,14,1,0,2,Reject
8.1,4,24.3,2,23,1,1,0.88,3,0,2,29,1,2,2,Invite
11.7,4,35.1,5,21,0,3,0.69,3,0,0,18,1,3,2,Invite
4.1,4,12.3,5,23,1,2,0.9,6,0,0,17,0,2,2,Invite
6.5,2,39.0,4,15,0,1,0.7,6,0,2,43,1,1,2,Invite
3.4,3,13.6,3,8,1,2,0.83,4,1,0,35,0,1,2,Invite
1.4,4,4.2,4,19,1,3,0.7,3,1,2,33,0,3,2,Invite
0.0,1,0.0,3,12,0,2,0.45,1,0,0,15,0,0,0,Reject
13.7,6,27.4,3,25,1,1,0.9,4,0,3,15,1,3,2,Invite
3.7,2,22.2,3,9,1,2,0.34,1,0,6,16,0,1,2,Reject
4.9,1,58.8,2,7,0,2,0.46,2,0,6,14,0,1,1,Reject
8.9,4,26.7,4,21,0,1,0.63,6,0,2,55,0,1,1,Invite
7.2,2,43.2,3,19,0,1,0.84,6,1,0,60,0,2,2,Invite
6.2,4,18.6,3,11,0,2,0.8,6,1,0,28,1,2,2,Invite
10.0,2,60.0,3,10,1,4,1.0,5,1,2,47,1,3,2,Invite
1.3,3,5.2,2,7,0,1,0.59,1,0,3,16,0,1,1,Reject
5.3,1,63.6,1,9,0,2,0.53,1,0,0,11,0,1,1,Reject
11.5,3,46.0,5,25,1,2,0.91,4,0,3,15,1,2,2,Invite
9.0,6,18.0,5,10,0,3,0.65,5,1,0,53,0,2,1,Invite
6.1,6,12.2,3,9,1,1,0.63,5,1,2,38,1,1,2,Invite
5.1,5,12.2,3,20,0,1,0.88,4,0,0,25,1,2,2,Invite
7.4,3,29.6,3,7,1,1,0.5,3,0,6,11,0,0,0,Reject
9.0,5,21.6,5,21,0,2,0.93,5,0,0,44,1,3,2,Invite
8.4,5,20.2,4,15,0,3,0.62,5,0,3,53,1,3,2,Invite
0.0,3,0.0,1,8,0,2,0.22,3,0,0,18,0,1,1,Reject
4.2,2,25.2,3,11,0,1,0.25,1,0,3,11,0,1,2,Reject
3.5,2,21.0,2,18,1,4,0.66,4,0,1,22,1,3,2,Invite
6.8,6,13.6,4,17,1,1,0.75,3,1,1,58,1,1,2,Invite
2.5,6,5.0,4,9,1,2,0.81,6,0,1,14,1,1,1,Invite
0.3,5,0.7,3,14,1,4,0.95,3,1,1,47,1,4,2,Invite
10.1,4,30.3,4,16,1,2,0.98,5,1,0,31,1,2,2,Invite
12.9,5,31.0,3,16,0,4,0.96,6,1,6,21,1,3,2,Invite
10.9,5,26.2,3,25,0,3,0.65,4,0,1,45,1,2,1,Invite
5.0,5,12.0,3,12,0,2,0.76,6,0,0,30,1,1,2,Invite
3.7,2,22.2,5,13,1,2,0.97,3,1,0,43,0,3,2,Invite
5.3,6,10.6,4,18,0,4,0.96,4,1,0,24,1,3,1,Invite
6.9,4,20.7,4,14,0,4,0.93,5,0,1,23,1,4,2,Invite
8.9,4,26.7,3,22,1,3,0.72,3,0,0,27,0,1,2,Invite
4.3,4,12.9,4,17,0,2,0.69,4,0,0,50,1,4,2,Invite
0.0,1,0.0,2,12,0,1,0.41,3,0,12,3,1,0,0,Reject
3.1,3,12.4,3,24,1,2,0.89,6,0,1,15,1,4,2,Invite
6.9,5,16.6,4,17,1,4,0.7,3,1,1,14,1,1,2,Invite
13.9,5,33.4,2,21,0,2,0.91,6,0,3,40,1,4,2,Invite
0.0,3,0.0,3,4,0,2,0.25,3,0,3,5,1,0,2,Reject
4.7,3,18.8,2,10,0,1,0.3,2,0,0,7,1,0,0,Reject
2.2,3,8.8,2,2,0,1,0.24,1,0,6,2,0,0,1,Reject
8.2,2,49.2,3,17,0,3,0.83,5,0,3,54,1,4,2,Invite
12.9,6,25.8,5,13,1,4,0.82,3,1,3,54,1,3,2,Invite
6.4,6,12.8,4,15,0,2,0.92,3,1,6,47,1,4,1,Invite
8.8,2,52.8,5,19,0,2,0.62,6,1,1,16,0,2,2,Invite
0.0,1,0.0,1,5,1,1,0.5,2,0,18,7,0,0,1,Reject
6.9,2,41.4,2,12,0,2,0.34,2,0,6,16,1,1,2,Reject
3.7,3,14.8,4,8,0,4,0.72,4,0,0,27,1,3,2,Invite
3.8,3,15.2,2,9,0,2,0.27,3,0,6,6,1,0,1,Reject
5.8,1,69.6,2,8,0,1,0.23,1,0,0,17,0,0,1,Reject
4.2,3,16.8,3,12,0,1,0.41,2,0,0,17,1,1,0,Reject
0.8,1,9.6,1,3,0,1,0.28,3,0,3,12,0,1,0,Reject
0.0,2,0.0,2,5,0,1,0.46,3,0,12,3,0,1,1,Reject
8.8,5,21.1,5,18,1,1,0.96,3,0,3,56,1,4,2,Invite
2.6,3,10.4,3,10,0,1,0.27,2,0,0,7,0,1,2,Reject
3.4,5,8.2,4,25,0,2,0.92,3,1,6,15,0,2,2,Invite
5.5,6,11.0,5,20,1,3,0.61,5,1,0,26,1,4,2,Invite
2.0,3,8.0,1,5,0,1,0.31,2,0,12,5,1,1,1,Reject
5.9,4,17.7,4,16,0,1,0.67,6,1,1,18,0,3,2,Invite
8.3,2,49.8,3,20,1,2,0.83,4,1,0,29,1,4,1,Invite
1.2,4,3.6,4,23,1,3,0.7,4,1,0,51,0,1,1,Invite
2.4,5,5.8,5,18,1,4,0.93,4,0,1,56,1,3,1,Invite
10.5,4,31.5,3,23,1,2,0.73,5,1,0,19,1,2,2,Invite
5.4,5,13.0,5,14,1,3,0.93,3,1,2,38,1,2,2,Invite
3.6,3,14.4,4,20,0,4,0.83,6,1,2,35,1,1,1,Invite
6.1,6,12.2,2,20,1,3,0.99,6,0,0,26,1,2,2,Invite
5.4,6,10.8,4,12,0,1,0.79,5,0,6,19,1,2,2,Invite
7.8,4,23.4,4,22,1,4,0.73,5,0,2,13,1,1,2,Invite
3.4,3,13.6,4,25,0,4,0.98,4,1,1,23,1,4,2,Invite
4.1,2,24.6,1,5,0,1,0.43,3,0,0,11,0,0,0,Reject
1.0,3,4.0,3,7,0,2,0.43,2,0,3,15,0,1,2,Reject
5.8,3,23.2,3,13,0,2,0.8,6,1,1,39,0,2,2,Invite
4.7,3,18.8,3,22,1,3,0.98,6,0,2,47,1,4,2,Invite
6.2,3,24.8,2,8,1,2,0.72,5,0,0,41,1,4,2,Invite
3.9,2,23.4,3,25,1,3,0.82,3,1,0,25,1,1,2,Invite
2.6,1,31.2,2,7,1,1,0.38,1,0,12,8,0,1,2,Reject
13.1,5,31.4,3,12,1,2,0.92,5,1,1,22,1,3,2,Invite
12.5,2,75.0,3,21,1,3,0.95,4,1,0,21,1,2,2,Invite
0.0,2,0.0,1,12,0,2,0.35,1,0,6,3,0,1,1,Reject
0.3,3,1.2,1,3,0,2,0.45,3,0,3,3,1,1,0,Reject
8.0,3,32.0,4,18,1,3,0.82,4,1,0,33,1,1,0,Invite
7.3,3,29.2,4,8,1,4,0.68,4,1,0,29,0,3,2,Invite
6.5,3,26.0,2,17,1,2,0.77,3,1,0,42,0,2,2,Invite
9.7,2,58.2,5,21,1,4,0.63,6,0,2,18,1,3,1,Invite
2.6,1,31.2,2,12,0,1,0.44,1,0,6,7,0,0,2,Reject
5.0,2,30.0,3,11,1,4,0.74,6,0,0,29,1,2,2,Invite
7.7,6,15.4,3,8,1,3,0.68,4,1,0,15,1,2,2,Invite
3.0,6,6.0,5,8,1,3,0.65,6,0,1,60,1,1,0,Invite
7.0,4,21.0,3,9,1,4,0.8,6,0,0,52,1,2,2,Invite
5.0,3,20.0,4,20,1,1,0.72,6,1,2,15,1,4,1,Invite
6.9,2,41.4,3,13,0,2,0.88,4,0,0,45,1,3,1,Invite
7.5,2,45.0,4,8,0,4,0.71,3,0,6,52,0,4,2,Invite
4.7,6,9.4,3,13,0,1,0.96,3,0,1,14,1,1,1,Invite
5.7,2,34.2,4,21,0,2,0.77,5,0,0,35,0,1,1,Invite
3.3,1,39.6,3,3,1,2,0.51,2,0,3,18,0,1,0,Reject
5.6,5,13.4,3,23,1,2,0.89,4,0,3,13,1,3,2,Invite
5.1,1,61.2,3,2,0,2,0.54,3,0,3,7,0,0,1,Reject
3.6,2,21.6,1,5,1,2,0.48,2,0,6,3,0,0,1,Reject
6.7,6,13.4,4,21,1,2,0.69,5,1,3,37,1,3,2,Invite
8.8,6,17.6,3,11,0,4,0.73,3,1,6,25,1,4,2,Invite
7.9,3,31.6,5,17,1,1,0.69,5,0,2,34,1,1,2,Invite
7.8,5,18.7,5,25,1,2,0.64,3,1,0,12,0,2,1,Invite
2.5,2,15.0,2,12,0,2,0.57,1,0,0,3,0,1,2,Reject
10.1,2,60.6,2,22,0,4,0.93,6,0,0,39,0,2,2,Invite
2.5,5,6.0,5,9,1,2,0.86,6,0,1,15,0,4,1,Invite
9.7,6,19.4,4,20,1,3,0.79,6,0,1,32,1,2,0,Invite
4.6,2,27.6,5,16,0,4,0.81,4,1,0,54,1,1,2,Invite
0.0,2,0.0,1,4,0,2,0.52,3,0,3,1,1,1,2,Reject
3.1,6,6.2,5,23,1,2,0.8,3,0,1,13,1,1,2,Invite
8.0,3,32.0,5,18,0,2,0.83,4,1,2,35,1,3,2,Invite
0.8,3,3.2,1,6,0,1,0.49,2,0,12,16,0,0,2,Reject
10.2,4,30.6,3,13,0,3,0.65,3,1,3,37,1,1,1,Invite
4.4,6,8.8,3,11,1,2,0.73,3,0,6,22,1,1,2,Invite
2.3,1,27.6,1,5,0,2,0.3,1,0,12,2,0,1,2,Reject
0.7,2,4.2,3,7,0,1,0.53,3,0,12,8,0,0,2,Reject
9.3,2,55.8,2,13,1,2,0.89,3,0,6,42,1,4,2,Invite
7.3,5,17.5,3,11,0,2,0.76,5,1,0,18,0,4,1,Invite
4.7,6,9.4,4,11,0,2,0.86,3,0,0,37,1,3,1,Invite
8.1,3,32.4,3,20,0,4,0.62,6,0,0,29,1,2,2,Invite
4.1,3,16.4,2,11,0,1,0.54,3,0,6,18,0,1,1,Reject
8.4,4,25.2,2,9,1,2,0.65,6,0,6,25,1,2,0,Invite
6.2,3,24.8,5,16,0,1,0.63,6,1,3,45,1,1,2,Invite
5.2,6,10.4,4,11,1,2,0.83,3,1,1,18,1,3,2,Invite
4.8,5,11.5,2,16,1,4,0.62,5,1,0,42,1,3,0,Invite
0.3,2,1.8,1,9,1,1,0.59,1,0,0,15,1,1,0,Reject
5.8,3,23.2,5,21,1,3,0.93,4,0,2,37,0,1,1,Invite
1.5,1,18.0,3,5,0,1,0.57,3,0,0,12,1,1,1,Reject
9.8,6,19.6,4,23,1,3,0.74,5,1,1,30,0,1,1,Invite
7.6,3,30.4,5,15,1,3,0.86,3,1,6,55,0,2,2,Invite
9.3,4,27.9,4,16,1,4,0.94,6,0,0,55,1,4,2,Invite
7.1,4,21.3,4,17,0,1,0.79,5,1,1,29,1,3,1,Invite
7.1,6,14.2,4,18,1,1,0.86,5,0,0,36,1,2,2,Invite
3.2,3,12.8,2,9,1,2,0.4,1,0,12,18,0,0,1,Reject
2.1,1,25.2,3,7,0,1,0.34,3,0,18,14,1,1,1,Reject
3.2,5,7.7,5,23,0,1,0.79,4,1,3,36,1,4,1,Invite
3.4,2,20.4,3,9,0,1,0.51,2,0,3,6,0,0,0,Reject
8.5,3,34.0,4,13,1,1,0.65,6,1,0,42,1,1,2,Invite
6.5,3,26.0,1,12,0,1,0.29,2,0,3,4,0,1,0,Reject
1.2,2,7.2,3,9,0,2,0.37,3,0,18,11,1,1,1,Reject
13.4,5,32.2,2,15,1,2,0.68,3,1,0,35,1,1,2,Invite
4.8,6,9.6,4,9,1,1,0.62,3,0,0,47,1,2,1,Invite
4.6,1,55.2,2,6,0,1,0.37,1,0,6,4,0,0,1,Reject
7.2,4,21.6,5,14,0,4,0.72,3,1,3,56,1,3,1,Invite
8.2,6,16.4,4,12,1,1,0.89,3,1,1,41,1,3,2,Invite
7.8,3,31.2,5,17,0,3,0.77,3,0,2,14,0,2,2,Invite
5.0,6,10.0,3,10,0,3,0.67,6,0,0,36,1,4,2,Invite
9.5,3,38.0,3,9,1,2,0.64,6,1,1,23,1,3,2,Invite
4.8,1,57.6,2,9,0,2,0.38,1,0,3,11,0,0,2,Reject
0.3,2,1.8,2,11,0,1,0.39,3,0,12,13,0,0,0,Reject
0.3,2,1.8,3,3,0,2,0.3,2,0,0,8,0,1,1,Reject
6.9,5,16.6,4,22,0,4,0.78,3,1,2,13,0,4,0,Invite
9.4,6,18.8,4,24,1,4,0.98,5,1,2,41,1,4,2,Invite
2.3,5,5.5,3,15,0,3,0.93,5,1,0,18,0,2,2,Invite
2.4,2,14.4,2,5,0,2,0.29,1,0,12,4,1,0,2,Reject
0.5,3,2.0,1,9,0,1,0.59,1,0,6,2,0,1,2,Reject
0.2,3,0.8,4,13,1,2,0.64,5,1,0,50,1,2,2,Invite
2.3,2,13.8,2,4,0,2,0.54,3,0,18,18,0,0,0,Reject
0.8,1,9.6,3,12,1,1,0.4,3,0,6,4,1,1,1,Reject
0.0,3,0.0,2,10,0,2,0.52,3,0,0,13,0,0,0,Reject
3.4,2,20.4,1,2,0,2,0.28,3,0,0,15,0,0,2,Reject
9.1,3,36.4,4,17,1,1,0.97,6,0,2,55,1,1,0,Invite
3.2,5,7.7,5,19,1,2,0.91,4,0,0,55,0,2,2,Invite
3.4,2,20.4,4,25,0,2,0.83,5,0,0,21,0,3,2,Invite
0.0,2,0.0,2,11,0,1,0.51,2,0,6,6,0,0,1,Reject
2.9,2,17.4,3,14,1,3,0.74,4,1,1,42,1,1,1,Invite
7.3,6,14.6,3,9,1,3,0.75,3,0,1,30,0,3,2,Invite
11.3,5,27.1,2,14,0,1,0.98,4,1,2,46,0,1,1,Invite
8.0,2,48.0,3,21,1,1,0.9,4,0,2,14,0,1,1,Invite
11.4,2,68.4,4,15,1,4,0.76,6,0,0,55,0,1,2,Invite
7.1,2,42.6,3,24,0,3,0.84,5,1,0,37,1,1,2,Invite
3.0,3,12.0,4,25,0,2,0.72,5,1,0,47,0,1,0,Invite
0.0,4,-0.3,3,19,0,2,0.66,4,1,0,19,0,1,2,Invite
1.4,3,5.6,2,10,0,1,0.3,1,0,12,16,1,1,0,Reject
4.7,1,56.4,1,9,0,2,0.48,1,0,6,12,1,1,0,Reject
9.5,3,38.0,4,21,0,3,0.65,5,1,0,34,1,4,2,Invite
2.5,3,10.0,5,14,0,1,0.89,3,1,1,49,1,2,2,Invite
3.4,6,6.8,5,25,1,2,0.75,4,1,1,30,0,1,2,Invite
4.0,6,8.0,4,24,0,2,0.67,4,1,0,34,0,4,1,Invite
2.0,3,8.0,2,14,1,3,0.76,6,1,0,53,1,3,2,Invite
5.2,5,12.5,3,10,1,4,0.99,4,1,0,34,1,4,2,Invite
6.5,3,26.0,4,15,0,3,0.68,4,0,1,19,1,4,2,Invite
0.2,1,2.4,2,12,1,1,0.3,1,0,6,6,0,0,2,Reject
7.4,3,29.6,3,13,1,4,0.84,3,1,2,30,1,2,2,Invite
3.3,2,19.8,2,11,1,1,0.45,3,0,3,11,1,0,0,Reject
5.6,2,33.6,2,24,1,4,0.93,3,0,3,50,0,1,1,Invite
4.5,1,54.0,3,12,0,2,0.35,1,0,12,14,0,1,2,Reject
4.8,6,9.6,5,11,1,3,0.79,4,1,0,50,1,4,2,Invite
7.0,6,14.0,3,8,0,2,0.88,5,0,0,39,1,3,2,Invite
6.6,6,13.2,3,16,1,4,0.9,6,1,1,23,1,4,2,Invite
4.4,3,17.6,5,11,1,4,0.91,4,0,1,33,1,1,1,Invite
5.1,1,61.2,3,4,0,2,0.24,2,0,3,3,0,1,2,Reject
5.6,6,11.2,2,13,1,4,0.6,5,0,2,44,1,2,2,Invite
1.1,2,6.6,1,2,1,1,0.6,2,0,3,13,0,0,1,Reject
3.3,2,19.8,2,10,1,2,0.34,2,0,3,7,0,1,1,Reject
7.5,5,18.0,4,25,0,3,0.74,3,1,6,46,1,3,2,Invite
0.0,2,0.0,3,9,0,1,0.39,2,0,0,8,0,0,2,Reject
5.0,4,15.0,4,8,1,3,0.7,3,0,2,33,0,2,2,Invite
8.9,3,35.6,4,14,0,2,0.95,4,0,2,51,1,1,1,Invite
5.5,5,13.2,4,25,1,4,0.75,5,0,6,48,1,4,1,Invite
0.5,3,2.0,1,10,0,2,0.58,1,0,6,13,1,0,1,Reject
6.8,6,13.6,4,8,0,2,0.75,3,0,1,28,0,3,1,Invite
4.8,5,11.5,4,21,1,3,0.75,6,0,0,20,1,2,2,Invite
1.3,1,15.6,2,8,0,1,0.39,1,0,0,16,0,1,2,Reject
3.4,5,8.2,2,13,0,3,0.79,3,0,0,35,1,3,2,Invite
5.5,4,16.5,5,14,1,2,0.99,5,0,1,43,1,4,2,Invite
6.0,3,24.0,5,18,1,4,0.94,3,0,0,32,1,3,2,Invite
11.1,5,26.6,3,22,1,3,0.9,6,0,0,13,0,2,2,Invite
2.3,1,27.6,1,3,0,2,0.42,1,0,12,17,1,0,0,Reject
5.8,2,34.8,4,20,0,2,0.9,6,1,0,22,0,3,2,Invite
0.0,6,-2.2,5,25,1,2,0.84,6,1,1,48,1,3,2,Invite
8.2,3,32.8,5,22,0,4,0.7,5,0,1,60,1,3,2,Invite
5.7,5,13.7,3,21,1,2,0.92,5,0,3,39,1,2,2,Invite
3.8,5,9.1,3,10,1,2,0.81,5,0,2,29,1,1,1,Invite
4.3,4,12.9,4,23,0,1,0.66,3,0,0,29,0,4,2,Invite
3.8,3,15.2,2,14,0,3,0.91,6,1,0,14,1,2,1,Invite
4.5,1,54.0,3,6,1,1,0.25,3,0,3,15,0,0,0,Reject
3.5,1,42.0,2,5,0,2,0.57,1,0,6,2,1,0,0,Reject
9.0,3,36.0,5,15,1,3,0.61,5,1,0,27,0,1,2,Invite
6.5,3,26.0,2,7,0,1,0.26,1,0,12,11,1,0,0,Reject
5.4,3,21.6,4,18,1,3,0.92,6,1,0,36,1,2,2,Invite
1.9,5,4.6,4,25,1,2,0.83,5,0,0,50,1,2,1,Invite
6.3,4,18.9,4,24,0,2,0.95,5,1,0,58,0,4,1,Invite
4.0,3,16.0,1,6,0,2,0.24,3,0,12,2,1,0,0,Reject
8.5,2,51.0,4,20,1,3,0.62,4,1,0,25,1,1,2,Invite
8.2,4,24.6,4,21,1,1,0.93,5,1,2,31,0,2,2,Invite
6.4,3,25.6,3,15,1,2,0.82,6,1,2,48,1,4,2,Invite
3.3,2,19.8,3,13,1,3,0.86,6,1,3,47,1,3,2,Invite
3.2,4,9.6,4,25,0,3,0.74,6,0,0,58,0,3,2,Invite
2.8,4,8.4,2,15,0,3,0.61,5,1,1,48,1,2,1,Invite
8.3,6,16.6,3,16,1,1,0.83,4,1,2,42,0,1,2,Invite
9.0,6,18.0,3,9,1,3,0.74,6,0,3,26,1,1,2,Invite
10.4,4,31.2,4,12,0,2,0.66,6,1,2,48,1,2,2,Invite
3.3,1,39.6,1,3,0,1,0.42,2,0,0,17,0,0,2,Reject
8.0,6,16.0,3,24,0,1,0.71,6,0,3,17,0,4,2,Invite
9.9,4,29.7,3,8,1,2,1.0,6,1,0,26,0,3,1,Invite
5.3,1,63.6,3,4,1,2,0.21,3,0,12,10,0,0,1,Reject
4.2,1,50.4,1,10,0,2,0.45,1,0,12,1,0,0,0,Reject
8.4,4,25.2,2,8,0,3,0.87,5,1,0,53,1,4,2,Invite
5.4,2,32.4,2,11,0,1,0.28,2,0,6,1,0,1,1,Reject
8.5,4,25.5,3,17,0,3,0.92,5,1,3,13,1,3,1,Invite
9.3,5,22.3,4,10,1,2,0.77,4,0,0,50,1,2,1,Invite
